Bug ID,File,Affected Version,Fix Versions
HIVE-13955,packaging/pom.xml,2.1.0,2.1.0
HIVE-13955,packaging/src/main/assembly/src.xml,2.1.0,2.1.0
HIVE-13955,packaging/pom.xml,2.1.0,2.1.0
HIVE-13955,packaging/src/main/assembly/src.xml,2.1.0,2.1.0
HIVE-13867,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/security/authorization/plugin/TestHiveAuthorizerCheckInvocation.java,2.1.0,2.1.0
HIVE-13867,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/security/authorization/plugin/TestHiveAuthorizerShowFilters.java,2.1.0,2.1.0
HIVE-13867,itests/hive-unit/src/test/java/org/apache/hive/jdbc/authorization/TestHS2AuthzContext.java,2.1.0,2.1.0
HIVE-13867,itests/hive-unit/src/test/java/org/apache/hive/jdbc/authorization/TestJdbcMetadataApiAuth.java,2.1.0,2.1.0
HIVE-13867,itests/util/src/main/java/org/apache/hadoop/hive/ql/security/DummyAuthenticator.java,2.1.0,2.1.0
HIVE-13867,itests/util/src/main/java/org/apache/hadoop/hive/ql/security/InjectableDummyAuthenticator.java,2.1.0,2.1.0
HIVE-13867,itests/util/src/main/java/org/apache/hadoop/hive/ql/security/authorization/plugin/sqlstd/SQLStdHiveAuthorizationValidatorForTest.java,2.1.0,2.1.0
HIVE-13867,ql/src/java/org/apache/hadoop/hive/ql/Driver.java,2.1.0,2.1.0
HIVE-13867,ql/src/java/org/apache/hadoop/hive/ql/parse/TableMask.java,2.1.0,2.1.0
HIVE-13867,ql/src/java/org/apache/hadoop/hive/ql/processors/CommandUtil.java,2.1.0,2.1.0
HIVE-13867,ql/src/java/org/apache/hadoop/hive/ql/security/HadoopDefaultAuthenticator.java,2.1.0,2.1.0
HIVE-13867,ql/src/java/org/apache/hadoop/hive/ql/security/HiveAuthenticationProvider.java,2.1.0,2.1.0
HIVE-13867,ql/src/java/org/apache/hadoop/hive/ql/security/SessionStateConfigUserAuthenticator.java,2.1.0,2.1.0
HIVE-13867,ql/src/java/org/apache/hadoop/hive/ql/security/SessionStateUserAuthenticator.java,2.1.0,2.1.0
