Version,CommitId,Fichier,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,Unnamed: 34,is_bug
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AMReporter.java,11.0,0.0,11.0,0.0,2.0,9.0,0.0,1.0,32.0,32.0,32.0,29.0,32.0,8.0,0.0,3.0,21.0,475.0,56.0,379.0,145.0,197.0,40.0,185.0,249.0,128.0,143.0,8.0,3.0,0.11,58.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,ASTBuilder.java,14.0,0.0,13.0,1.0,4.0,1.0,14.0,0.0,18.0,18.0,4.0,1.0,18.0,18.0,0.0,0.0,0.0,308.0,30.0,252.0,59.0,179.0,26.0,123.0,153.0,55.0,112.0,42.0,2.0,0.1,66.0,,1
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,ASTConverter.java,18.0,1.0,15.0,2.0,4.0,7.0,2.0,2.0,34.0,34.0,32.0,24.0,34.0,9.0,8.0,2.0,15.0,775.0,99.0,591.0,222.0,357.0,85.0,314.0,459.0,223.0,303.0,15.0,5.0,0.14,124.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,ASTErrorNode.java,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,49.0,8.0,21.0,18.0,6.0,20.0,12.0,18.0,13.0,5.0,1.0,0.0,0.95,5.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,ASTNode.java,10.0,1.0,8.0,1.0,2.0,1.0,0.0,1.0,26.0,26.0,26.0,7.0,26.0,0.0,8.0,0.0,18.0,350.0,53.0,240.0,75.0,133.0,57.0,123.0,178.0,67.0,129.0,11.0,4.0,0.24,58.0,,1
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,ASTNode.java,10.0,1.0,8.0,1.0,2.0,1.0,0.0,1.0,26.0,26.0,26.0,7.0,26.0,0.0,8.0,0.0,18.0,350.0,53.0,240.0,75.0,133.0,57.0,123.0,178.0,67.0,129.0,11.0,4.0,0.24,58.0,,1
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,ASTNodeOrigin.java,7.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,5.0,6.0,0.0,0.0,0.0,6.0,95.0,9.0,31.0,14.0,10.0,55.0,16.0,23.0,13.0,10.0,1.0,0.0,1.77,6.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,ATSHook.java,15.0,1.0,14.0,2.0,1.0,7.0,0.0,6.0,15.0,7.0,15.0,13.0,15.0,3.0,0.0,0.0,12.0,227.0,27.0,178.0,69.0,118.0,36.0,110.0,129.0,63.0,90.0,8.0,2.0,0.2,19.0,,1
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,ATSHook.java,15.0,1.0,14.0,2.0,1.0,7.0,0.0,6.0,15.0,7.0,15.0,13.0,15.0,3.0,0.0,0.0,12.0,227.0,27.0,178.0,69.0,118.0,36.0,110.0,129.0,63.0,90.0,8.0,2.0,0.2,19.0,,1
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,ATSHook.java,15.0,1.0,14.0,2.0,1.0,7.0,0.0,6.0,15.0,7.0,15.0,13.0,15.0,3.0,0.0,0.0,12.0,227.0,27.0,178.0,69.0,118.0,36.0,110.0,129.0,63.0,90.0,8.0,2.0,0.2,19.0,,1
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbortDroneException.java,3.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,29.0,1.0,10.0,5.0,3.0,18.0,4.0,7.0,5.0,2.0,1.0,0.0,1.8,2.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbortTxnRequest.java,7.0,0.0,6.0,1.0,2.0,6.0,3.0,6.0,38.0,36.0,35.0,5.0,38.0,1.0,2.0,0.0,35.0,387.0,64.0,297.0,104.0,144.0,29.0,139.0,207.0,91.0,124.0,5.0,3.0,0.1,61.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbortTxnsDesc.java,5.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,36.0,0.0,13.0,8.0,3.0,23.0,7.0,10.0,8.0,2.0,1.0,0.0,1.77,2.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbortTxnsRequest.java,8.0,0.0,7.0,0.0,2.0,6.0,3.0,5.0,41.0,39.0,38.0,4.0,41.0,1.0,2.0,0.0,38.0,438.0,67.0,346.0,110.0,164.0,28.0,154.0,236.0,101.0,149.0,6.0,4.0,0.08,75.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractBucketJoinProc.java,38.0,3.0,32.0,3.0,7.0,1.0,2.0,0.0,11.0,12.0,10.0,1.0,12.0,0.0,4.0,3.0,5.0,515.0,52.0,395.0,155.0,236.0,69.0,193.0,282.0,137.0,205.0,26.0,6.0,0.17,75.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractCommandHandler.java,7.0,0.0,7.0,0.0,2.0,1.0,0.0,0.0,8.0,8.0,8.0,6.0,8.0,0.0,0.0,0.0,8.0,110.0,18.0,67.0,30.0,26.0,25.0,31.0,46.0,24.0,24.0,5.0,2.0,0.37,13.0,,0
